after-insert	1	1.23	1.23	13	13	0.00	0.00
after-insert	2	-1.24	-1.24	-13	-13	10.00	10.00
after-insert	3	1.20	1.20	10	10	100.00	100.00
after-update	1	999.99	999.99	-1	-1	0.00	0.00
after-update	2	-1.24	-1.24	-13	-13	10.00	10.00
after-update	3	1.20	1.20	10	10	100.00	100.00
after-duplicate-update	1	999.99	999.99	-1	-1	0.00	0.00
after-duplicate-update	2	2.23	2.23	2	2	1.56	1.56
after-duplicate-update	3	1.20	1.20	10	10	100.00	100.00
after-replace	1	999.99	999.99	-1	-1	0.00	0.00
after-replace	2	2.23	2.23	2	2	1.56	1.56
after-replace	3	1.20	1.20	10	10	100.00	100.00
after-replace	4	3.34	3.34	-3	-3	2.23	2.23
