after-insert	1	12:34:56	12:34:56	12:34:56.790	12:34:56.790	12:34:56.123457	12:34:56.123457
after-insert	2	-12:34:56	-12:34:56	-12:34:56.790	-12:34:56.790	-12:34:56.123457	-12:34:56.123457
after-insert	3	26:03:04	26:03:04	26:03:04.568	26:03:04.568	26:03:04.123456	26:03:04.123456
after-insert	4	12:34:56	12:34:56	12:34:56.789	12:34:56.789	12:34:56.123456	12:34:56.123456
after-insert	5	00:12:34	00:12:34	00:12:34.500	00:12:34.500	00:12:34.123456	00:12:34.123456
after-insert	6	00:00:12	00:00:12	00:00:12.900	00:00:12.900	00:00:12.123456	00:00:12.123456
after-insert	7	34:56:00	34:56:00	34:56:00.789	34:56:00.789	34:56:00.789456	34:56:00.789456
after-insert	8	00:12:00	00:12:00	01:02:03.457	01:02:03.457	00:00:00.000000	00:00:00.000000
after-insert	9	838:59:59	838:59:59	838:59:59.000	838:59:59.000	838:59:59.000000	838:59:59.000000
after-update	1	24:00:00	24:00:00	-23:59:59.999	-23:59:59.999	838:59:58.999999	838:59:58.999999
after-update	2	-12:34:56	-12:34:56	-12:34:56.790	-12:34:56.790	-12:34:56.123457	-12:34:56.123457
after-update	3	26:03:04	26:03:04	26:03:04.568	26:03:04.568	26:03:04.123456	26:03:04.123456
after-update	4	12:34:56	12:34:56	12:34:56.789	12:34:56.789	12:34:56.123456	12:34:56.123456
after-update	5	00:12:34	00:12:34	00:12:34.500	00:12:34.500	00:12:34.123456	00:12:34.123456
after-update	6	00:00:12	00:00:12	00:00:12.900	00:00:12.900	00:00:12.123456	00:00:12.123456
after-update	7	34:56:00	34:56:00	34:56:00.789	34:56:00.789	34:56:00.789456	34:56:00.789456
after-update	8	00:12:00	00:12:00	01:02:03.457	01:02:03.457	00:00:00.000000	00:00:00.000000
after-update	9	838:59:59	838:59:59	838:59:59.000	838:59:59.000	838:59:59.000000	838:59:59.000000
after-duplicate-update	1	24:00:00	24:00:00	-23:59:59.999	-23:59:59.999	838:59:58.999999	838:59:58.999999
after-duplicate-update	2	00:00:01	00:00:01	12:34:00.988	12:34:00.988	-838:59:59.000000	-838:59:59.000000
after-duplicate-update	3	26:03:04	26:03:04	26:03:04.568	26:03:04.568	26:03:04.123456	26:03:04.123456
after-duplicate-update	4	12:34:56	12:34:56	12:34:56.789	12:34:56.789	12:34:56.123456	12:34:56.123456
after-duplicate-update	5	00:12:34	00:12:34	00:12:34.500	00:12:34.500	00:12:34.123456	00:12:34.123456
after-duplicate-update	6	00:00:12	00:00:12	00:00:12.900	00:00:12.900	00:00:12.123456	00:00:12.123456
after-duplicate-update	7	34:56:00	34:56:00	34:56:00.789	34:56:00.789	34:56:00.789456	34:56:00.789456
after-duplicate-update	8	00:12:00	00:12:00	01:02:03.457	01:02:03.457	00:00:00.000000	00:00:00.000000
after-duplicate-update	9	838:59:59	838:59:59	838:59:59.000	838:59:59.000	838:59:59.000000	838:59:59.000000
after-replace	1	24:00:00	24:00:00	-23:59:59.999	-23:59:59.999	838:59:58.999999	838:59:58.999999
after-replace	2	00:00:01	00:00:01	12:34:00.988	12:34:00.988	-838:59:59.000000	-838:59:59.000000
after-replace	3	26:03:04	26:03:04	26:03:04.568	26:03:04.568	26:03:04.123456	26:03:04.123456
after-replace	4	12:34:56	12:34:56	12:34:56.789	12:34:56.789	12:34:56.123456	12:34:56.123456
after-replace	5	00:12:34	00:12:34	00:12:34.500	00:12:34.500	00:12:34.123456	00:12:34.123456
after-replace	6	00:00:12	00:00:12	00:00:12.900	00:00:12.900	00:00:12.123456	00:00:12.123456
after-replace	7	34:56:00	34:56:00	34:56:00.789	34:56:00.789	34:56:00.789456	34:56:00.789456
after-replace	8	00:12:00	00:12:00	01:02:03.457	01:02:03.457	00:00:00.000000	00:00:00.000000
after-replace	9	838:59:59	838:59:59	838:59:59.000	838:59:59.000	838:59:59.000000	838:59:59.000000
after-replace	10	-838:59:59	-838:59:59	00:00:00.000	00:00:00.000	12:34:57.000000	12:34:57.000000
